,Buy_Sell,POSITION,drawdown profit,Cum drawdown profit,HighValue,Drawdown,Profit_for_lot
0,2706.14990234375,1,,,,,
1,2896.10009765625,1,189.9501953125,189.9501953125,189.9501953125,0.0,47487.548828125
2,2853.25,1,-42.85009765625,147.10009765625,189.9501953125,-42.85009765625,-10712.5244140625
3,2915.39990234375,1,62.14990234375,209.25,209.25,0.0,15537.4755859375
4,2884.300048828125,1,-31.099853515625,178.150146484375,209.25,-31.099853515625,-7774.96337890625
5,2900.25,1,15.949951171875,194.10009765625,209.25,-15.14990234375,3987.48779296875
6,2921.5,1,21.25,215.35009765625,215.35009765625,0.0,5312.5
7,2930.199951171875,1,8.699951171875,224.050048828125,224.050048828125,0.0,2174.98779296875
8,2962.75,1,32.550048828125,256.60009765625,256.60009765625,0.0,8137.51220703125
9,2948.0,1,-14.75,241.85009765625,256.60009765625,-14.75,-3687.5
10,2942.050048828125,1,-5.949951171875,235.900146484375,256.60009765625,-20.699951171875,-1487.48779296875
11,2963.5,1,21.449951171875,257.35009765625,257.35009765625,0.0,5362.48779296875
12,2987.25,1,23.75,281.10009765625,281.10009765625,0.0,5937.5
13,2984.25,1,-3.0,278.10009765625,281.10009765625,-3.0,-750.0
14,3014.800048828125,1,30.550048828125,308.650146484375,308.650146484375,0.0,7637.51220703125
15,3000.39990234375,1,-14.400146484375,294.25,308.650146484375,-14.400146484375,-3600.03662109375
16,3006.0,1,5.60009765625,299.85009765625,308.650146484375,-8.800048828125,1400.0244140625
17,2950.85009765625,1,-55.14990234375,244.7001953125,308.650146484375,-63.949951171875,-13787.4755859375
18,2878.949951171875,1,-71.900146484375,172.800048828125,308.650146484375,-135.85009765625,-17975.03662109375
19,2887.5,1,8.550048828125,181.35009765625,308.650146484375,-127.300048828125,2137.51220703125
20,2901.949951171875,1,14.449951171875,195.800048828125,308.650146484375,-112.85009765625,3612.48779296875
21,2910.050048828125,1,8.10009765625,203.900146484375,308.650146484375,-104.75,2025.0244140625
22,2985.699951171875,1,75.64990234375,279.550048828125,308.650146484375,-29.10009765625,18912.4755859375
23,2973.89990234375,1,-11.800048828125,267.75,308.650146484375,-40.900146484375,-2950.01220703125
24,2971.949951171875,1,-1.949951171875,265.800048828125,308.650146484375,-42.85009765625,-487.48779296875
25,2959.14990234375,1,-12.800048828125,253.0,308.650146484375,-55.650146484375,-3200.01220703125
26,2929.64990234375,1,-29.5,223.5,308.650146484375,-85.150146484375,-7375.0
27,2931.5,1,1.85009765625,225.35009765625,308.650146484375,-83.300048828125,462.5244140625
28,2940.25,1,8.75,234.10009765625,308.650146484375,-74.550048828125,2187.5
29,2959.699951171875,1,19.449951171875,253.550048828125,308.650146484375,-55.10009765625,4862.48779296875
30,2919.949951171875,1,-39.75,213.800048828125,308.650146484375,-94.85009765625,-9937.5
31,2930.050048828125,1,10.10009765625,223.900146484375,308.650146484375,-84.75,2525.0244140625
32,2837.10009765625,1,-92.949951171875,130.9501953125,308.650146484375,-177.699951171875,-23237.48779296875
33,2814.85009765625,1,-22.25,108.7001953125,308.650146484375,-199.949951171875,-5562.5
34,2805.39990234375,1,-9.4501953125,99.25,308.650146484375,-209.400146484375,-2362.548828125
35,2840.14990234375,1,34.75,134.0,308.650146484375,-174.650146484375,8687.5
36,2850.699951171875,1,10.550048828125,144.550048828125,308.650146484375,-164.10009765625,2637.51220703125
37,2871.39990234375,1,20.699951171875,165.25,308.650146484375,-143.400146484375,5174.98779296875
38,2872.25,1,0.85009765625,166.10009765625,308.650146484375,-142.550048828125,212.5244140625
39,2921.300048828125,1,49.050048828125,215.150146484375,308.650146484375,-93.5,12262.51220703125
40,2972.10009765625,1,50.800048828125,265.9501953125,308.650146484375,-42.699951171875,12700.01220703125
41,3020.64990234375,1,48.5498046875,314.5,314.5,0.0,12137.451171875
42,2841.5,1,-179.14990234375,135.35009765625,314.5,-179.14990234375,-44787.4755859375
43,2939.89990234375,1,98.39990234375,233.75,314.5,-80.75,24599.9755859375
44,2926.64990234375,1,-13.25,220.5,314.5,-94.0,-3312.5
45,2955.10009765625,1,28.4501953125,248.9501953125,314.5,-65.5498046875,7112.548828125
46,2947.39990234375,1,-7.7001953125,241.25,314.5,-73.25,-1925.048828125
